,Exp_num,Unnamed: 0,gravity_max_x,gravity_max_y,gravity_max_z,rotationRate_max_x,rotationRate_max_y,rotationRate_max_z,userAcceleration_max_x,userAcceleration_max_y,userAcceleration_max_z,Activity,Sub_Num,gravity_sum_x,gravity_sum_y,gravity_sum_z,rotationRate_sum_x,rotationRate_sum_y,rotationRate_sum_z,userAcceleration_sum_x,userAcceleration_sum_y,gravity_min_x,gravity_min_y,gravity_min_z,rotationRate_min_x,rotationRate_min_y,rotationRate_min_z,userAcceleration_min_x,userAcceleration_min_y,userAcceleration_min_z,gravity_sumSS_x,gravity_sumSS_y,gravity_sumSS_z,rotationRate_sumSS_x,rotationRate_sumSS_y,rotationRate_sumSS_z,userAcceleration_sumSS_x,userAcceleration_sumSS_y,userAcceleration_sumSS_z,gravity_std_x,gravity_std_y,gravity_std_z,rotationRate_std_x,rotationRate_std_y,rotationRate_std_z,userAcceleration_std_x,userAcceleration_std_y,Sub_Num,Unnamed: 0,gravity_skew_x,gravity_skew_y,gravity_skew_z,rotationRate_skew_x,rotationRate_skew_y,rotationRate_skew_z,userAcceleration_skew_x
24,206,2799,0.042189,0.999979,0.067254,0.483996,0.302164,0.151253,0.031497,0.04356,0.087411,4,22,-0.02690622,0.97752211,-0.162979485,-0.00106286,-0.029010075,-0.00188099,-0.006685028,0.013551435,-0.075573,0.963088,-0.269159,-0.500951,-0.538601,-0.143104,-0.061175,-0.015499,-0.021302,0.002534609,0.934750581,0.060644973,0.00059904,0.005568401,0.000579196,8.27E-05,0.000203505,0.001160152,0.037473171,0.014751858,0.124736659,0.153500948,0.154461131,0.054702062,0.014829341,0.008276481,0,0,0.420230766,0.614190877,0.877556053,0.181427955,-0.761299992,-0.449447696,-0.448235494
25,207,3199,-0.006732,0.999848,0.047566,0.203625,0.327993,0.185797,0.097969,0.068897,0.215186,4,22,-0.082928678,0.987890772,-0.08118656,-0.022614127,-0.031891125,-0.005093068,0.004687667,0.010411415,-0.135709,0.966606,-0.254126,-0.458744,-0.320197,-0.174286,-0.143629,-0.062828,-0.120947,0.01232303,0.982458607,0.002833798,0.000179306,0.001250524,0.000294622,7.61E-05,0.000101889,9.32E-05,0.044578922,0.010262571,0.09219587,0.100933164,0.0783602,0.048527756,0.018654672,0.007733497,0,0,0.330675254,-1.115385705,-0.80166924,-2.052990302,-0.351259721,-0.45143763,-0.373531809
26,208,3599,0.020143,0.999754,0.060946,0.710302,0.399722,0.351443,0.09793,0.103791,0.03385,4,22,-0.078884827,0.98479745,-0.114603567,0.016986712,0.005627832,0.007028535,0.011065298,0.005357793,-0.149224,0.967322,-0.243598,-0.453525,-0.406323,-0.227365,-0.167099,-0.124882,-0.170276,0.007412105,0.971878564,0.013261891,0.004529507,0.006711712,0.003575861,0.000434702,0.000148517,0.000495333,0.047789704,0.009337721,0.09177877,0.202653471,0.120839542,0.105002786,0.034239754,0.027782389,0,0,0.515618063,0.147996743,0.478704195,0.793606143,-0.210747429,0.634350507,-1.134161847
27,209,3999,0.017486,0.999481,0.154631,0.385158,0.315735,0.282989,0.108892,0.064297,0.013285,4,22,-0.06164487,0.982892422,-0.099020388,-0.026586527,-0.02446753,-0.006872263,0.023811153,0.002565665,-0.120446,0.974841,-0.210473,-0.711955,-0.592309,-0.233793,-0.136176,-0.053868,-0.171932,0.006163899,0.9598454,0.033753597,0.001428691,0.009051163,0.001461075,0.001019748,8.21E-05,0.003489179,0.03507995,0.006428952,0.137873773,0.152339519,0.167680418,0.085918774,0.035866457,0.016039026,0,0,1.106281607,0.830319957,1.004383425,-1.746481771,-0.858959869,-0.412967606,-0.906486512
28,210,4399,-0.053285,0.997749,0.090421,0.78291,1.148535,0.533494,0.16439,0.100359,0.139307,4,22,-0.118812338,0.982791248,-0.13316974,-0.012550348,0.050597788,0.00217376,0.012826482,-0.003238432,-0.154994,0.974901,-0.183464,-0.727196,-1.178081,-0.285318,-0.274517,-0.113309,-0.221851,0.01578064,0.964293558,0.019459693,0.001812988,0.026329981,0.002859555,0.001255594,0.000128904,0.006131151,0.020737207,0.004090121,0.041754206,0.185576913,0.368514569,0.097721057,0.060264661,0.025846772,0,0,1.078551747,1.785525154,3.076090989,-0.214757505,-0.551491181,0.647426693,-0.402745887
29,211,4799,0.000864,0.997832,0.13259,0.726942,0.828564,0.45643,0.22694,0.09483,0.104161,4,22,-0.059856638,0.983494605,-0.119773028,0.001444505,-0.01432328,-0.004651585,0.055592093,0.003134375,-0.152144,0.969174,-0.220779,-0.664323,-0.774795,-0.672888,-0.098371,-0.124061,-0.208892,0.002392385,0.963241158,0.033898705,0.002483278,0.029925101,0.002907179,0.0039451,0.000120561,0.002585502,0.035498261,0.007947815,0.115886753,0.194970712,0.302678614,0.137098163,0.049311061,0.024729796,0,0,-1.041031316,0.341287957,1.191247063,0.146726608,-0.034548493,-0.638882375,-0.14435818
30,212,5199,-0.055669,0.993328,0.081623,0.867049,0.676903,0.373054,0.139508,0.068143,0.007424,4,22,-0.115531045,0.975611048,-0.17584521,0.033589125,0.03016165,-0.0107003,0.042357877,0.00192072,-0.146772,0.969733,-0.211357,-0.152235,-0.271618,-0.445924,-0.154046,-0.074044,-0.139727,0.015351955,0.946783489,0.036334294,0.000325823,0.009283255,0.000296839,0.002093023,3.46E-05,0.003282203,0.026329679,0.005723264,0.055687197,0.132246894,0.189083368,0.090726068,0.033566198,0.013609904,0,0,0.813565971,1.388238391,3.547185779,3.862966841,0.974404266,-0.661435799,-2.16522648
31,213,5599,0.00839,0.999386,0.149648,0.38104,0.22707,0.158214,0.103778,0.039405,0.057966,4,22,-0.062354467,0.986358768,-0.070224038,-0.008571485,0.00986601,0.00487555,0.041188125,0.005654225,-0.111964,0.971934,-0.210141,-0.439862,-0.292142,-0.091397,-0.059419,-0.039242,-0.191563,0.00591415,0.973646962,0.021232128,0.001817911,0.002237857,0.000878202,0.00188938,4.40E-05,0.002566705,0.040135617,0.008563366,0.128512737,0.139723191,0.086341026,0.05159764,0.020144143,0.009927578,0,0,0.540660682,-0.249502381,0.55469169,-0.488169566,0.087345343,0.591194727,-0.72285029
32,300,399,-0.167686,0.984762,-0.032752,0.177035,0.299593,0.218937,0.061875,0.051615,0.094049,4,7,-0.178384795,0.983147195,-0.03952776,0.001592692,0.000467627,-0.000464922,-0.002262278,0.003567038,-0.196508,0.979949,-0.048365,-0.115254,-0.188634,-0.219877,-0.099974,-0.044806,-0.028249,0.031448589,0.966917239,0.0015319,0.000110032,0.000666334,0.000157352,6.10E-05,2.39E-05,5.86E-05,0.00500782,0.000820929,0.003089661,0.03685503,0.066958123,0.058003257,0.017903139,0.009680567,0,0,-0.648699445,-0.893058848,-0.252223121,0.407046783,0.978354676,-0.114847859,-0.049735382
33,301,799,-0.169841,0.983776,-0.028322,0.075049,0.268224,0.130081,0.06866,0.029861,0.070869,4,7,-0.18469274,0.98198327,-0.03890557,-0.000218938,0.01756048,4.65E-05,0.00066358,0.0043105,-0.195336,0.980247,-0.059771,-0.105594,-0.145068,-0.144103,-0.069137,-0.024369,-0.020836,0.034409694,0.964102081,0.001482019,0.000178423,0.00148896,0.000347077,0.000117224,2.40E-05,7.69E-05,0.005900598,0.00088106,0.006854274,0.025447933,0.067057458,0.040026673,0.019500682,0.006502416,0,0,0.385002783,0.055786565,-0.899668602,-0.654158232,0.993085511,-0.800066915,0.041153626
34,302,1199,-0.156555,0.985206,-0.059004,0.039662,0.099187,0.045873,0.056758,0.027913,0.022145,4,7,-0.165053628,0.984187065,-0.06405108,0.001172865,-0.005874625,0.000175882,0.004740983,0.004736467,-0.171859,0.983252,-0.072001,-0.05668,-0.150334,-0.045697,-0.037167,-0.015245,-0.015734,0.027277826,0.968636845,0.004096064,2.09E-05,0.000169432,2.88E-05,3.94E-05,2.23E-05,1.99E-05,0.004278182,0.000539156,0.003002427,0.012131173,0.032037181,0.011752397,0.008784749,0.004132395,0,0,0.021446492,-0.079516957,-0.164633822,-0.095324024,-0.41133841,-0.123724376,-0.017472538
35,303,1599,-0.16569,0.984353,-0.028113,0.089829,0.27629,0.065382,0.066752,0.029436,0.036233,4,7,-0.177608983,0.9830203,-0.044073225,-0.000293312,-0.006978225,-0.00093748,0.0044471,0.00455447,-0.193972,0.980559,-0.062863,-0.063595,-0.271494,-0.047305,-0.065018,-0.017051,-0.031332,0.030645654,0.967202423,0.0017816,9.32E-05,0.001232964,8.21E-05,7.81E-05,2.64E-05,2.40E-05,0.008137509,0.00107649,0.010745241,0.021762986,0.081695919,0.017397123,0.017204222,0.005874426,0,0,-0.475180924,-0.742723105,-0.213237944,0.857861824,0.028826403,0.42904785,0.14077305
36,304,1999,-0.161682,0.98501,-0.048952,0.142868,0.108184,0.184279,0.034974,0.032804,0.069966,4,7,-0.169595038,0.983929352,-0.055643513,0.000732805,0.001129538,0.000354057,-0.00428707,0.003036258,-0.182106,0.98202,-0.061497,-0.114362,-0.139433,-0.180552,-0.054992,-0.029776,-0.043868,0.028676205,0.968166458,0.00312291,4.98E-05,0.000169639,0.000110462,3.54E-05,1.61E-05,9.20E-05,0.004113061,0.000623816,0.002250716,0.028892518,0.034474951,0.050743779,0.012537987,0.007504858,0,0,-0.630164237,-0.709798915,0.700819536,0.146508612,-0.458116113,-0.279700988,-0.639295354
37,305,2399,-0.157024,0.985391,-0.05005,0.054629,0.112975,0.069871,0.030246,0.018077,0.040696,4,7,-0.165160312,0.984353023,-0.060957583,0.000301262,-0.003695025,0.001795008,-0.00551739,0.00325724,-0.179195,0.982448,-0.06694,-0.088208,-0.31927,-0.077562,-0.02593,-0.012067,-0.012383,0.026590683,0.969448975,0.003743054,1.79E-05,0.000118472,3.62E-05,3.28E-05,1.10E-05,7.67E-05,0.005740334,0.000750998,0.004213771,0.011676918,0.043716325,0.012555021,0.006883307,0.002693084,0,0,-1.009544008,-1.060151521,0.765642476,-2.216523276,-3.196403079,-1.320431279,0.86350633
38,400,399,-0.136442,0.990033,0.126108,0.484429,0.870302,0.232201,0.106094,0.089263,0.192858,4,12,-0.198779475,0.9753175,0.078469478,0.023007308,0.051491523,-0.005298138,0.005674865,-0.001665278,-0.285853,0.958054,-0.157769,-0.289389,-0.306755,-0.30407,-0.096679,-0.051114,-0.0879,0.036181557,0.954710731,0.007873812,0.002754806,0.012915328,0.001111499,0.000133958,3.77E-05,0.000317909,0.035841876,0.007812571,0.041620056,0.098535389,0.20919157,0.076468713,0.029404636,0.014469951,0,0,-1.150232249,-0.935611285,-3.349062588,1.139953226,1.27792241,-0.236231257,0.231692057
39,401,799,-0.164699,0.959982,-0.160617,0.163639,0.692628,0.263179,0.057836,0.046121,0.082563,4,12,-0.213579537,0.940675988,-0.260175977,0.00896359,0.044884645,-0.001466465,-0.011067677,0.008093428,-0.261619,0.931148,-0.299732,-0.147336,-0.330183,-0.124118,-0.114682,-0.02543,-0.030473,0.045559198,0.881726636,0.076592785,0.001673342,0.012646256,0.001147574,0.000348905,7.93E-05,0.000887032,0.023137907,0.006614035,0.034929741,0.062086748,0.18213969,0.060070057,0.025941395,0.009657279,0,0,-0.010085535,0.542505867,1.197713061,-0.091959872,0.425311149,1.064657581,-0.101581236
